awayTeam,awayScore,homeTeam,homeScore,homeWin
TOR,6,PHI,2,False
BOS,7,ANA,1,False
PHI,4,BUF,0,False
NSH,3,OTT,0,False
SEA,4,MTL,0,False
EDM,3,LAK,6,True
CBJ,3,TBL,6,True
MIN,3,NYR,4,True
NJD,5,CAR,3,False
SEA,4,BUF,3,False
VAN,4,PIT,5,True
WPG,5,DET,7,True
DAL,2,NYI,1,False
CGY,3,STL,4,True
SJS,4,ARI,2,False
FLA,5,COL,4,False
WSH,3,PHI,5,True
NSH,1,TOR,2,True
EDM,6,ANA,2,False
SJS,3,LAK,4,True
CAR,6,CBJ,2,False
DAL,1,NYR,2,True
NSH,3,MTL,4,True
SEA,3,BOS,0,False
TOR,1,DET,4,True
VAN,4,TBL,5,True
WPG,4,BUF,2,False
MIN,3,NYI,1,False
CGY,4,STL,1,False
COL,2,CHI,3,True
OTT,5,ARI,3,False
FLA,2,VGK,4,True
WPG,4,PIT,1,False
NJD,6,ANA,2,False
EDM,7,SJS,1,False
CGY,6,DAL,5,False
CBJ,4,DET,3,False
MTL,1,NYI,2,True
OTT,0,COL,7,True
PHI,3,WSH,1,False
PIT,1,CAR,2,True
TOR,3,BOS,4,True
VAN,3,FLA,4,True
ARI,1,MIN,2,True
BUF,5,NSH,3,False
SEA,8,CHI,5,False
TBL,4,STL,2,False
EDM,4,VGK,3,False
NJD,5,LAK,2,False
MTL,2,NYR,1,False
VAN,4,CAR,3,False
ARI,1,WPG,2,True
FLA,4,BUF,1,False
PHI,0,BOS,6,True
DET,3,COL,6,True
NJD,4,SJS,3,False
TBL,4,SEA,1,False
DAL,4,VGK,0,False
ANA,3,PIT,4,True
NYR,3,CBJ,1,False
WSH,4,NYI,3,False
CGY,1,NSH,2,True
OTT,1,STL,2,True
ANA,2,PHI,5,True
FLA,4,TOR,5,True
MIN,4,WSH,2,False
WPG,1,MTL,4,True
CBJ,1,NSH,2,True
BUF,3,CHI,4,True
DET,3,ARI,4,True
SEA,2,EDM,5,True
PIT,4,OTT,5,True
BOS,4,NYI,1,False
COL,4,CGY,1,False
TBL,5,VAN,2,False
DAL,3,SJS,5,True
ANA,5,CBJ,3,False
BOS,3,NYR,1,False
CHI,4,PHI,1,False
FLA,6,MTL,2,False
MIN,2,CAR,5,True
WPG,1,TOR,4,True
NYI,2,BUF,3,True
NSH,2,STL,5,True
TBL,3,EDM,5,True
WSH,4,ARI,0,False
DET,3,VGK,2,False
NJD,3,SEA,4,True
DAL,4,LAK,0,False
OTT,1,PIT,4,True
COL,4,VAN,1,False
